"it","SSM","logl","sig2","K-prot","K-pat","nk1","nk2","nk3","nk4","nk5","nk1","nk2","nk3","nk4","nk5"
1100,0.945479983283705,-49006.8172318508,0.943578999980918,20,16,399,319,301,293,236,6,4,3,3,2
1110,0.946399045582373,-49056.8467239978,0.937020999786133,20,16,416,323,299,283,230,6,4,3,3,2
1120,0.946006363087276,-49035.8025349834,0.945497508670529,20,16,400,327,288,281,252,6,4,3,3,2
1130,0.94632946067216,-49055.0164413178,0.94694140556336,20,16,411,317,295,273,247,6,4,3,3,2
1140,0.946045547130626,-49037.4621932959,0.9516375940695,20,16,384,349,298,282,260,6,4,3,3,2
1150,0.945583970865334,-49012.3051778495,0.948396996912947,20,16,403,324,300,281,240,6,4,3,3,2
1160,0.945805784628333,-49024.2869401891,0.952017095255375,20,16,400,331,298,282,246,6,4,3,3,2
1170,0.94646050739824,-49060.8811514783,0.9447877090202,20,16,391,336,293,289,257,6,4,3,3,2
1180,0.946431361374225,-49060.9585540824,0.934737912070827,20,15,404,339,293,277,255,6,4,3,3,3
1190,0.945301438693685,-48996.6438761087,0.94603609061797,20,17,401,321,302,284,253,4,4,3,3,2
1200,0.946435682929054,-49058.9873992095,0.944710943360334,20,15,414,322,289,289,249,6,4,3,3,3
1210,0.944922375714659,-48976.4959493774,0.945424032655232,20,15,390,313,308,286,245,6,4,3,3,3
1220,0.946551811334024,-49066.1197046153,0.93793335171511,20,16,400,319,313,275,243,6,4,3,3,2
1230,0.946520446695229,-49063.8980799986,0.954045644244779,20,16,394,318,313,285,247,4,4,3,3,3
1240,0.945752108672764,-49021.5174520561,0.948922919920204,20,16,384,322,314,288,245,4,4,3,3,3
1250,0.946042388195938,-49040.2611086434,0.941920970558672,20,16,388,325,319,282,232,4,3,3,3,3
1260,0.946255348549741,-49048.9812852137,0.951144455191986,20,17,392,323,310,274,248,4,3,3,3,3
1270,0.946178776883017,-49044.8522025962,0.941419707416073,20,17,411,309,305,279,249,4,4,3,3,2
1280,0.945823185714349,-49025.4020644412,0.941113689575706,20,18,397,317,312,283,245,4,3,3,3,2
1290,0.94566342154579,-49017.3603658818,0.946415632018673,20,18,386,323,321,264,254,4,3,3,3,2
1300,0.946120026293647,-49042.2294634658,0.947042960026622,20,16,402,324,316,273,232,5,4,3,3,3
1310,0.946558502037436,-49066.3740846238,0.948637388643689,20,15,395,324,301,279,230,6,4,3,3,3
1320,0.946508599756617,-49062.8601531116,0.946617115680586,20,16,388,357,304,285,230,6,4,3,3,2
1330,0.946835502385962,-49080.8102532394,0.942924161987926,20,16,391,342,290,276,239,6,4,3,3,2
1340,0.946506252543658,-49062.8650073428,0.947419205444414,20,15,394,332,305,275,227,6,4,3,3,3
1350,0.945757208595338,-49021.8178059208,0.948651313188047,20,16,393,337,303,269,237,6,4,3,3,2
1360,0.945542860525831,-49010.0636071547,0.949260749147932,20,15,398,336,295,276,238,6,4,3,3,3
1370,0.945907621810868,-49029.8766929904,0.954576155262892,20,16,401,341,295,276,236,6,4,3,3,2
1380,0.945956491739519,-49033.5257062959,0.939459370370973,20,15,415,335,285,281,243,6,4,3,3,3
1390,0.945138119751157,-48987.7134215782,0.949316900500308,20,15,405,329,295,266,236,6,4,3,3,3
1400,0.945957045316657,-49032.9519626512,0.945546661756183,20,17,404,331,291,270,248,6,4,3,2,2
1410,0.944909614659881,-48975.1812203812,0.943772750907596,20,16,400,329,284,276,263,6,4,3,3,2
1420,0.945660834388611,-49017.8300013496,0.945375055293635,20,15,407,333,284,277,257,6,4,3,3,3
1430,0.945552868761474,-49011.1893139227,0.950666148034861,20,15,419,317,290,280,247,6,4,3,3,3
1440,0.945818198022483,-49025.1153080201,0.947237240611983,20,15,413,335,302,264,252,6,4,3,3,3
1450,0.945232855101629,-48992.9074007123,0.944246238007443,20,16,418,320,291,269,265,6,4,3,3,2
1460,0.944970960903173,-48978.4522355462,0.942393370035027,20,15,404,323,289,282,265,6,4,3,3,3
1470,0.946336122821855,-49054.548368916,0.95090670021325,20,16,395,318,302,279,266,6,4,3,3,2
1480,0.94654413564651,-49064.8362201926,0.939612698948592,20,16,398,314,296,292,252,6,4,3,3,2
1490,0.947124273725711,-49096.6921558424,0.947011549419864,20,16,403,314,296,284,260,5,4,3,3,3
1500,0.94541859520675,-49003.0375471366,0.946081135800502,20,16,407,308,296,285,269,4,4,3,3,3
1510,0.946832687132254,-49080.7598606829,0.958565372145887,20,16,426,305,300,277,257,5,4,3,3,3
1520,0.945989243243032,-49035.3285316115,0.941983900643863,20,16,421,299,298,282,269,5,4,3,3,3
1530,0.945314648908016,-48997.4831892298,0.935768868051127,20,16,412,311,297,290,261,4,4,3,3,3
1540,0.945402893419331,-49003.0242783467,0.94563574662577,20,16,419,304,295,292,267,4,3,3,3,3
1550,0.945315939341873,-48997.6574009818,0.942262417732614,20,18,394,311,299,287,284,4,3,3,3,2
1560,0.945890368166135,-49028.9347796475,0.95267197538917,20,17,399,313,308,290,277,4,3,3,3,2
1570,0.9462152844096,-49048.9328053395,0.948324404565556,20,16,419,304,298,291,268,4,4,3,3,3
1580,0.946223790866564,-49047.3574374853,0.945371401337904,20,16,421,304,302,287,245,4,4,3,3,3
1590,0.945879889058532,-49028.7227883791,0.942079525479881,20,16,425,310,294,289,257,4,4,3,3,3
1600,0.946031822193498,-49037.232369992,0.953219395376311,20,17,415,307,303,294,262,4,3,3,3,2
1610,0.945736651157592,-49020.4931365817,0.951528097433206,20,15,404,305,304,300,261,5,4,3,3,3
1620,0.945694310588982,-49018.2159140631,0.936127215025586,20,15,385,309,294,280,275,5,4,3,3,3
1630,0.946018292269169,-49036.8372101104,0.945636231676157,20,16,400,297,291,286,272,4,3,3,3,3
1640,0.946828547597232,-49080.7325118605,0.945160440120528,20,16,393,309,296,290,268,4,4,3,3,3
1650,0.945814402449645,-49024.9498301594,0.93959762595479,20,15,402,306,300,277,272,5,4,3,3,3
1660,0.945906405851749,-49029.8405717013,0.941344887113753,20,16,399,295,285,281,280,4,4,3,3,3
1670,0.944701429945669,-48964.4599347569,0.944543092531523,20,16,389,315,290,287,260,4,3,3,3,3
1680,0.945981299947438,-49033.9257312301,0.951453708884051,20,16,385,312,296,278,270,4,4,3,3,3
1690,0.944909367765769,-48975.7365424221,0.94343721661043,20,16,412,294,285,279,274,4,3,3,3,3
1700,0.94523458206774,-48992.9917874429,0.944376973421181,20,16,415,304,296,272,271,4,4,3,3,3
1710,0.945900746534482,-49029.5512720923,0.952745800299017,20,16,397,309,296,290,264,4,4,3,3,3
1720,0.94662813291033,-49069.4167630907,0.941767340417383,20,15,406,298,293,290,262,5,4,3,3,3
1730,0.946044322740544,-49038.054949822,0.951839177788627,20,16,372,314,307,290,256,4,4,3,3,3
1740,0.944989325904556,-48979.4796783404,0.944009843797636,20,16,373,311,307,276,263,4,4,3,3,3
1750,0.944960616488744,-48978.0273897796,0.940073586514152,20,16,398,304,297,291,258,4,4,3,3,3
1760,0.945434343744522,-49004.6557294268,0.944700072307156,20,16,417,303,296,282,258,4,4,3,3,3
1770,0.945460378987744,-49006.8102726951,0.940409377953648,20,15,426,295,292,283,270,5,4,3,3,3
1780,0.946393624149326,-49056.6290135461,0.945084397069598,20,16,401,302,300,294,270,4,4,3,3,3
1790,0.946611305613385,-49069.2180098877,0.949483850215272,20,16,407,311,295,293,282,4,4,3,3,3
1800,0.946745876714621,-49077.5758223214,0.952600394178936,20,18,416,304,295,293,285,5,3,2,2,2
1810,0.9469243917193,-49085.7414214221,0.945127827675301,20,16,430,307,291,287,278,4,3,3,3,3
1820,0.945982645279497,-49034.0152071785,0.950571422682429,20,16,418,298,292,291,276,4,4,3,3,3
1830,0.946315212000285,-49052.6939610395,0.949829765092912,20,15,427,305,298,284,275,5,4,3,3,3
1840,0.945271092716182,-48994.9441816584,0.944742269724795,20,17,410,302,301,293,276,4,3,3,3,2
1850,0.947216451816518,-49101.7554730901,0.947455949999381,20,16,426,292,290,286,283,4,4,3,3,3
1860,0.946112775338879,-49041.27350246,0.94645188827007,20,18,415,301,298,290,273,4,3,3,3,2
1870,0.944603365665161,-48958.244814313,0.947258532686164,20,16,419,290,289,286,282,4,4,3,3,3
1880,0.945332025120667,-48998.3094340005,0.942558560807836,20,17,438,295,280,276,271,4,4,3,3,2
1890,0.945202257790718,-48991.1894078047,0.944737668154602,20,18,407,296,288,282,281,4,4,3,2,2
1900,0.945959414928636,-49032.7267773569,0.944782115908216,20,16,410,295,290,286,285,4,4,3,3,3
1910,0.945706049239568,-49018.8750584714,0.947398008778828,20,15,414,296,291,284,280,5,4,3,3,3
1920,0.945851361801033,-49026.7923717312,0.943521113086813,20,16,426,300,282,277,271,4,4,3,3,3
1930,0.946705113582352,-49074.0868933402,0.946671897559454,20,16,401,294,286,284,273,4,4,3,3,3
1940,0.946450352251354,-49059.8122526608,0.949793684490881,20,16,408,294,291,288,288,4,4,3,3,3
1950,0.945865328444584,-49028.6581009385,0.94426577025794,20,16,395,309,301,294,264,4,4,3,3,3
1960,0.945615654411363,-49014.904669709,0.948064843237345,20,16,399,310,305,291,271,4,4,3,3,3
1970,0.946006238058219,-49035.3908652252,0.950950305022217,20,15,402,300,297,292,272,5,4,3,3,3
1980,0.945798223243552,-49024.4475033012,0.943374528180169,20,15,413,295,294,293,271,5,4,3,3,3
1990,0.945306913745774,-48996.9096100229,0.943667984781064,20,17,410,303,294,293,264,4,4,3,3,2
2000,0.945575113853131,-49011.7449440092,0.952933171141396,20,16,422,299,296,280,267,4,4,3,3,3
2010,0.945918588934186,-49030.5868895313,0.946230989862995,20,16,401,309,294,292,281,4,3,3,3,3
2020,0.945824102040824,-49025.4050853633,0.942346500875073,20,16,396,304,303,282,269,4,3,3,3,3
